term,score,source
air,38.42864533182319,title+abstract
assembly,33.08231002460395,title+abstract
appliance,32.700876178638026,title+abstract
cleaner,28.391358753216974,title+abstract
body,27.582802367937322,title+abstract
outlet,26.966234861784475,title+abstract
surface,26.073283861696627,title+abstract
flow,25.158221602149283,title+abstract
vacuum,24.374197306279147,title+abstract
inlet,24.054372307217655,title+abstract
airflow,23.89252956388752,title+abstract
fluid,23.163152810022225,title+abstract
having,22.43734083333583,title+abstract
cleaning,21.253743507648398,title+abstract
vacuum cleaner,21.205052513000275,title+abstract
motor,20.99513498312617,title+abstract
fan,20.447737815847837,title+abstract
position,19.930325470702734,title+abstract
head,19.826238843528255,title+abstract
end,19.82304325892103,title+abstract
nozzle,19.05720583201045,title+abstract
chamber,18.48777284054011,title+abstract
arranged,18.4544540485639,title+abstract
air outlet,17.635976085736534,title+abstract
housing,17.111079245170128,title+abstract
located,17.031332266004846,title+abstract
separating,17.00220091624781,title+abstract
axis,16.935590675793588,title+abstract
filter,16.866020756343875,title+abstract
air flow,16.84776543669728,title+abstract
within,16.225957470626405,title+abstract
plurality,16.15918785260111,title+abstract
hair,16.150462206189566,title+abstract
wall,16.132692520237153,title+abstract
cleaning appliance,16.117816882058616,title+abstract
control,16.080021761413715,title+abstract
provided,15.05912180412294,title+abstract
main,14.844741392855658,title+abstract
air inlet,14.490793989106798,title+abstract
unit,14.286580375398804,title+abstract
connected,14.140589263828518,title+abstract
fan assembly,14.105756827818626,title+abstract
relative,13.943371645677843,title+abstract
main body,13.688265940208813,title+abstract
cleaner head,13.658797507594011,title+abstract
suction,13.320907386511681,title+abstract
support,12.98158466618643,title+abstract
duct,12.731443430934405,title+abstract
extending,12.63042514024877,title+abstract
outer,12.586123479130606,title+abstract
