patent_id,title,parent_cluster_id,sub_cluster_id,composite_id
2023-0078152,PUMP ASSEMBLY,10,0,10.0
2022-0168083,CLEANING APPLIANCE,10,0,10.0
2021-0274921,DENTAL TREATMENT APPLIANCE,10,0,10.0
2021-0274923,DENTAL TREATMENT APPLIANCE,10,0,10.0
2021-0275283,DENTAL TREATMENT APPLIANCE,10,0,10.0
2021-0275285,DENTAL TREATMENT APPLIANCE,10,0,10.0
2021-0113314,DENTAL TREATMENT APPLIANCE,10,0,10.0
2018-0289456,CLEANING APPLIANCE,10,0,10.0
2018-0289458,CLEANING APPLIANCE,10,0,10.0
2018-0221124,DENTAL TREATMENT APPLIANCE,10,0,10.0
2018-0125221,CLEANING APPLIANCE,10,0,10.0
2018-0125621,CLEANING APPLIANCE,10,0,10.0
2018-0125624,CLEANING APPLIANCE,10,0,10.0
2018-0116390,CLEANING APPLIANCE,10,0,10.0
2018-0116774,CLEANING APPLIANCE,10,0,10.0
2018-0110321,CLEANING APPLIANCE,10,0,10.0
2018-0110322,CLEANING APPLIANCE,10,0,10.0
2018-0110601,CLEANING APPLIANCE,10,0,10.0
2018-0084898,CLEANING APPLIANCE,10,0,10.0
2018-0085207,CLEANING APPLIANCE,10,0,10.0
2018-0055212,CLEANING APPLIANCE,10,0,10.0
2016-0331113,CLEANING APPLIANCE,10,0,10.0
2016-0331114,CLEANING APPLIANCE,10,0,10.0
2016-0331115,CLEANING APPLIANCE,10,0,10.0
2016-0331116,CLEANING APPLIANCE,10,0,10.0
2016-0331117,CLEANING APPLIANCE,10,0,10.0
2016-0331497,CLEANING APPLIANCE,10,0,10.0
2016-0331498,CLEANING APPLIANCE,10,0,10.0
2026-0108123,IMPROVEMENTS RELATING TO FLOOR CLEANERS,10,1,10.1
2024-0122427,FILTER ARRANGEMENT FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2018-0000298,VACUUM CLEANER AND SUCTION WAND THEREFOR,10,1,10.1
2016-0150927,FLOOR TOOL FOR A VACUUM CLEANER,10,1,10.1
2014-0033468,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2014-0033469,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2014-0033470,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2014-0033471,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2014-0033472,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2014-0033473,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2013-0174372,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2013-0174374,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,10,1,10.1
2011-0016654,DOMESTIC VACUUM CLEANING APPLIANCE COMPRISING A FLEXIBLE HOSE,10,1,10.1
2010-0223753,FLOOR TOOL,10,1,10.1
2010-0154150,FLOOR TOOL FOR A CLEANING APPLIANCE,10,1,10.1
2010-0107891,DOMESTIC APPLIANCE,10,1,10.1
2010-0058554,FLOOR TOOL,10,1,10.1
2010-0011534,FLOOR TOOL FOR A SURFACE TREATING APPLIANCE SUCH AS A VACUUM CLEANER,10,1,10.1
2007-0174994,Cleaning head,10,1,10.1
2004-0025284,Floor cleaning apparatus including self-closing dispenser for dispensing particulate cleaning material,10,1,10.1
2003-0163889,Floor tool,10,1,10.1
2003-0177601,Floor cleaning apparatus including dispenser for dispensing particulate cleaning material,10,1,10.1
2005-0055798,Floor tool,10,1,10.1
2005-0050680,Floor tool,10,1,10.1
09/868486,"Autonomous vehicular appliance, especially vacuum cleaner",10,1,10.1
09/868492,Sensors arrangement,10,1,10.1
2025-0041035,DENTAL CLEANING APPLIANCE AND COMPONENTS THEREOF,10,2,10.2
2024-0024817,USE OF CATALYST AND METHOD OF REMOVING ALDEHYDES,10,2,10.2
2023-0355053,SUCTION TOOL,10,2,10.2
2023-0180920,BRUSH,10,2,10.2
2023-0172348,BRUSH,10,2,10.2
2022-0296060,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2021-0188372,ELECTRIC VEHICLE,10,2,10.2
2021-0178911,ELECTRIC VEHICLE,10,2,10.2
2020-0354000,ELECTRIC VEHICLE,10,2,10.2
2018-0333027,SUCTION NOZZLE,10,2,10.2
2016-0256024,SUCTION NOZZLE FOR A VACUUM CLEANER,10,2,10.2
2015-0374185,VACUUM CLEANER TOOL,10,2,10.2
2015-0374186,VACUUM CLEANER TOOL,10,2,10.2
2015-0223654,VACUUM CLEANER TOOL,10,2,10.2
2015-0223655,VACUUM CLEANER TOOL,10,2,10.2
2015-0223656,VACUUM CLEANER TOOL,10,2,10.2
2014-0328676,COMPRESSOR,10,2,10.2
2013-0152336,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2013-0036573,HANDLE FOR A WAND OF A VACUUM CLEANING APPLIANCE,10,2,10.2
2013-0031745,HANDLE FOR A WAND OF A VACUUM CLEANING APPLIANCE,10,2,10.2
2011-0214249,VACUUM CLEANING APPLIANCE,10,2,10.2
2011-0214250,HANDLE FOR A WAND OF A VACUUM CLEANING APPLIANCE,10,2,10.2
2010-0294207,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2010-0294208,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2010-0294209,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2010-0294210,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE,10,2,10.2
2010-0215485,CENTRIFUGAL COMPRESSOR,10,2,10.2
2010-0215489,DIFFUSER,10,2,10.2
2008-0250602,Handle Assembly for a Cleaning Appliance,10,2,10.2
2007-0271727,Attachment for a Cleaning Appliance,10,2,10.2
09/806930,Changover valve,10,2,10.2
2024-0090725,AUTONOMOUS SURFACE TREATMENT APPARATUS,10,3,10.3
2024-0081591,AUTONOMOUS SURFACE TREATMENT APPARATUS,10,3,10.3
2024-0081600,AUTONOMOUS SURFACE TREATMENT APPARATUS,10,3,10.3
2024-0065509,AUTONOMOUS SURFACE TREATMENT APPARATUS,10,3,10.3
2023-0346175,VACUUM CLEANING APPLIANCE,10,3,10.3
2021-0341928,PATH PLANNING,10,3,10.3
2021-0285328,AXIAL IMPELLER,10,3,10.3
2019-0323356,COMPRESSOR BLADE SURFACE PATTERNING,10,3,10.3
2019-0008349,SUCTION NOZZLE,10,3,10.3
2015-0342405,DOMESTIC APPLIANCE,10,3,10.3
2015-0342406,DOMESTIC APPLIANCE,10,3,10.3
2015-0342407,DOMESTIC APPLIANCE,10,3,10.3
2015-0342408,DOMESTIC APPLIANCE,10,3,10.3
2015-0342409,DOMESTIC APPLIANCE,10,3,10.3
2013-0302156,FAN,10,3,10.3
2013-0152301,DOMESTIC APPLIANCE,10,3,10.3
2013-0152302,DOMESTIC APPLIANCE,10,3,10.3
2013-0152303,DOMESTIC APPLIANCE,10,3,10.3
2011-0088213,UPRIGHT CLEANING APPLIANCE,10,3,10.3
2009-0095728,DOMESTIC EQUIPMENT GROUP,10,3,10.3
2009-0095729,DOMESTIC EQUIPMENT GROUPING,10,3,10.3
2003-0177602,Floor cleaning apparatus including dispenser for dispensing particulate cleaning material with adjustable width aperture,10,3,10.3
2006-0161318,Autonomous machine,10,3,10.3
2015-0190022,CANISTER VACUUM CLEANER,10,4,10.4
2014-0068890,CLEANING APPLIANCE,10,4,10.4
2010-0242215,CLEANING APPLIANCE,10,4,10.4
2010-0242218,CLEANING APPLIANCE,10,4,10.4
2025-0060116,REFRIGERATION SYSTEM,10,5,10.5
2025-0035352,A REFRIGERATION SYSTEM,10,5,10.5
2024-0341552,SELF-CLEANING VACUUM CLEANER,10,5,10.5
2024-0252010,SELF-CLEANING VACUUM CLEANER,10,5,10.5
2024-0210084,REFRIGERATION SYSTEM,10,5,10.5
2023-0337875,SELF-CLEANING VACUUM CLEANER,10,5,10.5
2023-0330293,SELF-CLEANING VACUUM CLEANER,10,5,10.5
2018-0004219,APPARATUS FOR GUIDING AN AUTONOMOUS VEHICLE TOWARDS A DOCKING STATION,10,5,10.5
2016-0091899,APPARATUS FOR GUIDING AN AUTONOMOUS VEHICLE TOWARDS A DOCKING STATION,10,5,10.5
2025-0235681,ULTRASONIC PROBE TO IMPROVE ABSORPTION OF ACTIVE INGREDIENTS INTO THE SKIN,10,6,10.6
2025-0085720,METHOD FOR EDGE CLEANING,10,6,10.6
2024-0138646,FLOOR CLEANER DOCK,10,6,10.6
2024-0099537,FLOOR CLEANER DOCK,10,6,10.6
2024-0057838,FLOOR CLEANER DOCK,10,6,10.6
2024-0041289,FLOOR CLEANER DOCK,10,6,10.6
2024-0016964,FLOOR CLEANER DOCK,10,6,10.6
2009-0212132,SPRAY DISPENSER,10,6,10.6
10/031604,Robotic floor cleaning device,10,6,10.6
2025-0237394,AIR TREATMENT APPARATUS,11,0,11.0
2025-0198426,NOISE REDUCTION FOR AIR FLOW DEVICES,11,0,11.0
2024-0200576,NOISE REDUCTION FOR AIR FLOW DEVICES,11,0,11.0
2024-0200710,NOISE REDUCTION FOR AIR FLOW DEVICES,11,0,11.0
2023-0201756,PHOTOCATALYTIC AIR TREATMENT,11,0,11.0
2022-0349592,AIR TREATMENT APPARATUS,11,0,11.0
2022-0113043,AIR TREATMENT APPARATUS,11,0,11.0
2022-0106205,AIR TREATMENT APPARATUS,11,0,11.0
2022-0098059,AIR TREATMENT APPARATUS,11,0,11.0
2022-0082273,AIR TREATMENT APPARATUS,11,0,11.0
2022-0074610,AIR TREATMENT APPARATUS,11,0,11.0
2022-0074611,AIR TREATMENT APPARATUS,11,0,11.0
2017-0008679,HUMIDIFYING APPARATUS,11,0,11.0
2017-0010010,HUMIDIFYING APPARATUS,11,0,11.0
2017-0010011,HUMIDIFYING APPARATUS,11,0,11.0
2016-0033148,HUMIDIFYING APPARATUS,11,0,11.0
2016-0033150,HUMIDIFYING APPARATUS,11,0,11.0
2015-0084214,FAN ASSEMBLY,11,0,11.0
2014-0210115,FAN ASSEMBLY,11,0,11.0
2013-0249126,HUMIDIFYING APPARATUS,11,0,11.0
2004-0143987,Drying apparatus,11,0,11.0
2003-0121293,Washing machine with a drain pump,11,0,11.0
09/959771,Washing machine with a drain pump,11,0,11.0
2025-0229113,WEARABLE AIR PURIFIER,11,1,11.1
2025-0223974,NOZZLE FOR A FAN ASSEMBLY,11,1,11.1
2025-0205520,WEARABLE AIR PURIFIER,11,1,11.1
2025-0146512,FAN ASSEMBLY,11,1,11.1
2025-0052433,FAN ASSEMBLY,11,1,11.1
2025-0052434,FAN ASSEMBLY,11,1,11.1
2025-0052447,FAN ASSEMBLY,11,1,11.1
2025-0048016,HEADBAND FOR A WEARABLE ELECTRONIC DEVICE,11,1,11.1
2025-0003623,AIR PURIFIER,11,1,11.1
2024-0366973,HEAD WEARABLE AIR PURIFIER,11,1,11.1
2024-0342515,HEAD WEARABLE AIR PURIFIER,11,1,11.1
2024-0325795,HEAD WEARABLE AIR PURIFIER,11,1,11.1
2024-0271634,NOZZLE FOR A FAN ASSEMBLY,11,1,11.1
2024-0271636,NOZZLE FOR A FAN ASSEMBLY,11,1,11.1
2024-0198141,HEAD WEARABLE AIR PURIFIER,11,1,11.1
